"age","gender","marital_status","years_edu","educ_level","income_decile","religiosity","life_satisfaction","happiness","health_status","social_meetings","trust_people","value_safe","value_free","value_tradition","value_fun","attend_relig","pray_freq","social_activity","internet_use","internet_time"
21,2,6,14,423,1,0,9,9,2,7,10,4,2,4,2,7,6,4,5,570
44,2,6,17,422,4,6,8,8,2,4,5,1,1,3,2,5,2,3,5,120
31,1,6,11,322,2,0,5,5,1,6,5,2,2,4,2,7,7,3,5,180
60,2,4,12,313,3,10,8,8,3,4,10,1,2,2,5,6,1,2,5,330
41,2,6,12,322,8,5,8,8,2,6,5,2,2,2,3,5,5,4,5,90
35,2,6,12,313,4,4,7,7,1,4,7,2,2,3,5,5,5,3,5,150
49,2,4,9,212,2,5,7,8,3,4,4,2,1,4,2,6,4,2,5,180
57,2,4,11,322,3,8,7,7,2,6,8,1,1,5,3,5,2,3,5,20
67,2,4,12,423,3,0,8,9,3,4,10,4,1,6,4,7,7,3,5,120
38,2,6,12,322,3,5,8,8,3,6,7,1,1,3,2,6,6,4,5,60
74,1,6,17,720,1,7,8,8,2,2,7,1,2,3,2,3,3,5,5,180
36,2,6,15,610,5,5,8,8,1,6,7,3,2,4,3,5,6,4,4,30
28,1,6,12,322,6,5,8,6,2,5,6,2,2,2,3,7,7,2,5,480
60,1,4,12,322,7,6,9,9,2,6,7,2,1,2,5,5,6,2,5,300
20,2,6,12,322,4,2,2,3,3,6,6,1,1,4,1,7,7,4,5,360
43,2,1,17,520,9,8,8,8,1,6,8,3,2,4,2,6,1,5,5,90
36,2,6,13,423,6,0,9,9,1,5,8,2,2,2,3,7,7,3,4,180
24,1,6,11,322,2,10,7,7,1,7,7,2,4,1,3,2,1,3,5,180
32,1,6,13,322,7,2,8,8,1,5,5,1,3,3,1,6,6,2,5,120
45,1,6,12,710,9,0,8,8,1,4,4,3,2,5,3,7,7,2,5,720
68,1,4,13,322,2,8,8,8,2,6,4,3,1,1,1,5,4,4,5,60
