"age","gender","marital_status","years_edu","educ_level","income_decile","religiosity","life_satisfaction","happiness","health_status","social_meetings","trust_people","value_safe","value_free","value_tradition","value_fun","attend_relig","pray_freq","social_activity","internet_use","internet_time"
65,1,NA,12,322,6,5,8,8,3,4,5,2,2,3,3,6,5,3,5,180
21,2,6,14,423,1,0,9,9,2,7,10,4,2,4,2,7,6,4,5,570
53,2,NA,16,610,5,8,10,9,1,4,6,2,2,3,2,5,3,3,5,30
78,2,4,14,422,2,6,7,7,3,6,6,1,2,2,3,6,3,3,1,NA
64,1,NA,12,322,NA,1,9,9,2,5,6,2,2,2,2,7,7,3,5,120
59,2,NA,16,313,9,3,8,8,1,6,8,2,2,2,2,5,1,2,5,120
77,2,5,8,212,3,6,8,7,2,4,7,2,3,3,4,5,2,3,1,NA
69,2,NA,17,720,10,6,8,8,2,4,8,3,2,3,4,5,4,3,5,240
52,2,NA,12,422,8,5,8,8,2,4,7,1,1,1,3,5,1,3,5,180
75,2,NA,9,212,3,10,8,7,2,3,3,1,1,3,4,3,1,1,1,NA
44,2,6,17,422,4,6,8,8,2,4,5,1,1,3,2,5,2,3,5,120
49,1,NA,14,322,6,8,5,5,2,4,5,1,1,1,2,6,1,2,5,60
63,2,NA,12,322,NA,9,8,7,2,6,6,1,1,2,3,5,4,3,5,120
76,2,NA,NA,212,NA,8,8,8,3,4,3,2,4,2,4,3,1,2,1,NA
30,2,6,NA,720,8,0,3,5,3,6,8,1,2,3,5,7,7,3,2,NA
67,2,6,11,322,5,7,9,9,1,6,3,1,1,NA,1,7,1,3,5,180
41,1,NA,13,322,8,4,10,10,1,6,8,3,3,2,4,5,6,3,5,360
82,2,NA,12,322,6,4,6,8,2,2,4,1,1,1,3,6,2,4,3,NA
26,1,6,11,322,NA,0,7,8,1,2,2,1,1,5,2,7,7,1,5,600
42,1,4,8,212,1,3,5,5,2,6,4,NA,NA,NA,NA,6,7,3,4,180
85,2,5,14,322,2,9,8,8,2,6,5,1,1,1,1,5,1,2,2,NA
72,1,NA,11,322,2,8,8,7,2,5,5,2,1,1,1,4,1,2,5,45
31,1,6,11,322,2,0,5,5,1,6,5,2,2,4,2,7,7,3,5,180
47,1,NA,14,423,NA,1,9,8,1,6,4,1,1,2,2,6,6,4,5,150
50,2,NA,11,322,8,6,8,8,1,6,7,4,2,3,4,4,4,4,5,180
60,2,4,12,313,3,10,8,8,3,4,10,1,2,2,5,6,1,2,5,330
43,2,NA,16,610,8,5,8,8,2,4,8,1,1,1,3,5,2,3,5,210
41,2,6,12,322,8,5,8,8,2,6,5,2,2,2,3,5,5,4,5,90
35,2,6,12,313,4,4,7,7,1,4,7,2,2,3,5,5,5,3,5,150
49,2,4,9,212,2,5,7,8,3,4,4,2,1,4,2,6,4,2,5,180
36,2,NA,15,322,NA,3,8,8,2,3,5,2,2,2,2,5,5,2,5,180
46,1,6,18,720,3,0,8,7,1,4,8,2,1,2,4,6,NA,3,5,60
81,2,NA,9,212,2,5,8,9,1,5,6,1,1,2,3,5,4,3,1,NA
57,2,4,11,322,3,8,7,7,2,6,8,1,1,5,3,5,2,3,5,20
67,2,4,12,423,3,0,8,9,3,4,10,4,1,6,4,7,7,3,5,120
38,2,NA,12,322,7,10,10,10,2,4,10,1,1,1,1,7,7,2,5,120
42,2,4,11,423,NA,6,8,9,2,6,7,3,1,3,2,4,2,4,5,180
59,2,NA,9,213,5,2,10,9,1,6,8,1,1,2,5,7,6,4,5,60
77,1,NA,8,212,7,10,8,7,3,2,7,2,2,1,5,3,1,1,3,NA
58,1,NA,12,322,5,9,7,7,2,4,2,1,2,1,3,4,2,3,3,NA
38,2,6,12,322,3,5,8,8,3,6,7,1,1,3,2,6,6,4,5,60
79,2,5,12,322,2,5,10,9,2,6,5,1,2,2,2,5,7,3,1,NA
25,2,6,11,322,6,6,8,8,1,6,7,1,2,4,3,7,NA,4,5,300
34,2,NA,12,322,6,9,9,9,1,5,7,1,2,1,1,5,4,3,5,120
74,1,6,17,720,1,7,8,8,2,2,7,1,2,3,2,3,3,5,5,180
74,1,6,9,322,2,3,7,7,3,6,5,2,1,4,3,6,7,3,1,NA
36,2,6,15,610,5,5,8,8,1,6,7,3,2,4,3,5,6,4,4,30
28,1,6,12,322,6,5,8,6,2,5,6,2,2,2,3,7,7,2,5,480
65,1,5,11,322,9,4,4,7,3,4,7,3,4,4,3,6,NA,2,4,90
42,2,NA,9,212,5,5,4,5,2,5,5,2,5,5,6,6,7,3,2,NA
60,1,NA,20,720,NA,1,5,6,4,3,7,1,2,1,2,7,7,2,3,NA
60,1,4,12,322,7,6,9,9,2,6,7,2,1,2,5,5,6,2,5,300
16,2,6,10,213,NA,1,8,7,1,7,7,1,2,6,3,7,7,5,5,180
28,1,6,14,423,NA,5,8,8,1,6,6,2,2,3,2,6,NA,4,5,300
71,2,NA,12,322,NA,7,8,9,1,4,1,2,1,1,2,5,3,3,2,NA
20,2,6,12,322,4,2,2,3,3,6,6,1,1,4,1,7,7,4,5,360
80,2,5,9,212,2,8,7,7,3,6,8,1,3,2,6,3,2,3,1,NA
75,2,4,9,212,1,7,8,8,2,4,5,1,1,6,1,5,3,3,2,NA
51,1,1,15,423,NA,4,8,8,2,5,6,1,2,3,3,6,NA,2,5,30
87,2,NA,11,322,6,4,6,7,3,3,3,1,1,2,6,5,1,2,5,60
57,2,NA,15,520,9,2,8,9,2,7,6,2,2,4,2,6,7,3,5,120
76,1,NA,11,322,6,7,8,8,3,2,2,1,3,4,5,7,4,2,5,110
61,1,4,11,322,3,4,6,6,3,3,5,3,3,3,4,7,NA,3,5,90
43,2,NA,13,322,NA,0,7,7,2,4,6,2,2,2,3,7,7,3,5,360
76,2,5,9,212,NA,7,6,6,3,5,4,1,2,3,3,3,2,3,1,NA
43,2,1,17,520,9,8,8,8,1,6,8,3,2,4,2,6,1,5,5,90
51,1,NA,12,322,6,4,8,8,2,4,8,1,1,1,2,6,2,3,5,120
69,1,NA,13,423,9,5,9,9,2,5,9,2,2,4,3,6,6,4,5,180
47,2,NA,15,610,NA,7,9,9,2,6,7,2,1,3,2,4,4,3,5,165
89,1,NA,12,322,6,7,8,7,3,2,3,2,2,3,3,3,2,3,1,NA
72,1,NA,14,322,NA,9,8,8,2,4,8,1,3,1,3,5,3,2,5,150
